"(PDH-CSV 4.0) (China Standard Time)(-480)","\\LocalHost\AzureVMBlob(Blob:_masgstrps1sapdb1_vhds_MASG-1SAPBWD1OSDisk.vhd)\AvgIOSizeInBytes","\\LocalHost\AzureVMBlob(Blob:LocalTempDisk)\AvgIOSizeInBytes","\\LocalHost\AzureVMBlob(Blob:SumOfAllBlob)\AvgIOSizeInBytes","\\LocalHost\AzureVMBlob(Blob:_masgstrps1sapdb1_vhds_MASG-1SAPBWD1OSDisk.vhd)\IOPS","\\LocalHost\AzureVMBlob(Blob:LocalTempDisk)\IOPS","\\LocalHost\AzureVMBlob(Blob:SumOfAllBlob)\IOPS","\\LocalHost\AzureVMBlob(Blob:_masgstrps1sapdb1_vhds_MASG-1SAPBWD1OSDisk.vhd)\DeltaReadThrottleTimeInSec","\\LocalHost\AzureVMBlob(Blob:LocalTempDisk)\DeltaReadThrottleTimeInSec","\\LocalHost\AzureVMBlob(Blob:SumOfAllBlob)\DeltaReadThrottleTimeInSec","\\LocalHost\AzureVMBlob(Blob:_masgstrps1sapdb1_vhds_MASG-1SAPBWD1OSDisk.vhd)\MBPS","\\LocalHost\AzureVMBlob(Blob:LocalTempDisk)\MBPS","\\LocalHost\AzureVMBlob(Blob:SumOfAllBlob)\MBPS","\\LocalHost\AzureVMBlob(Blob:_masgstrps1sapdb1_vhds_MASG-1SAPBWD1OSDisk.vhd)\WriteIOPS","\\LocalHost\AzureVMBlob(Blob:LocalTempDisk)\WriteIOPS","\\LocalHost\AzureVMBlob(Blob:SumOfAllBlob)\WriteIOPS","\\LocalHost\AzureVMBlob(Blob:_masgstrps1sapdb1_vhds_MASG-1SAPBWD1OSDisk.vhd)\AvgWriteIOSizeInBytes","\\LocalHost\AzureVMBlob(Blob:LocalTempDisk)\AvgWriteIOSizeInBytes","\\LocalHost\AzureVMBlob(Blob:SumOfAllBlob)\AvgWriteIOSizeInBytes","\\LocalHost\AzureVMBlob(Blob:_masgstrps1sapdb1_vhds_MASG-1SAPBWD1OSDisk.vhd)\DeltaWriteThrottleTimeInSec","\\LocalHost\AzureVMBlob(Blob:LocalTempDisk)\DeltaWriteThrottleTimeInSec","\\LocalHost\AzureVMBlob(Blob:SumOfAllBlob)\DeltaWriteThrottleTimeInSec","\\LocalHost\AzureVMBlob(Blob:_masgstrps1sapdb1_vhds_MASG-1SAPBWD1OSDisk.vhd)\QD","\\LocalHost\AzureVMBlob(Blob:LocalTempDisk)\QD","\\LocalHost\AzureVMBlob(Blob:SumOfAllBlob)\QD","\\LocalHost\AzureVMBlob(Blob:_masgstrps1sapdb1_vhds_MASG-1SAPBWD1OSDisk.vhd)\DeltaThrottled","\\LocalHost\AzureVMBlob(Blob:LocalTempDisk)\DeltaThrottled","\\LocalHost\AzureVMBlob(Blob:SumOfAllBlob)\DeltaThrottled","\\LocalHost\AzureVMBlob(Blob:_masgstrps1sapdb1_vhds_MASG-1SAPBWD1OSDisk.vhd)\WriteMBPS","\\LocalHost\AzureVMBlob(Blob:LocalTempDisk)\WriteMBPS","\\LocalHost\AzureVMBlob(Blob:SumOfAllBlob)\WriteMBPS","\\LocalHost\AzureVMBlob(Blob:_masgstrps1sapdb1_vhds_MASG-1SAPBWD1OSDisk.vhd)\DeltaThrottleTimeInSec","\\LocalHost\AzureVMBlob(Blob:LocalTempDisk)\DeltaThrottleTimeInSec","\\LocalHost\AzureVMBlob(Blob:SumOfAllBlob)\DeltaThrottleTimeInSec","\\LocalHost\AzureVMBlob(Blob:_masgstrps1sapdb1_vhds_MASG-1SAPBWD1OSDisk.vhd)\DeltaReadsThrottled","\\LocalHost\AzureVMBlob(Blob:LocalTempDisk)\DeltaReadsThrottled","\\LocalHost\AzureVMBlob(Blob:SumOfAllBlob)\DeltaReadsThrottled","\\LocalHost\AzureVMBlob(Blob:_masgstrps1sapdb1_vhds_MASG-1SAPBWD1OSDisk.vhd)\ReadMBPS","\\LocalHost\AzureVMBlob(Blob:LocalTempDisk)\ReadMBPS","\\LocalHost\AzureVMBlob(Blob:SumOfAllBlob)\ReadMBPS","\\LocalHost\AzureVMBlob(Blob:_masgstrps1sapdb1_vhds_MASG-1SAPBWD1OSDisk.vhd)\AvgReadIOSizeInBytes","\\LocalHost\AzureVMBlob(Blob:LocalTempDisk)\AvgReadIOSizeInBytes","\\LocalHost\AzureVMBlob(Blob:SumOfAllBlob)\AvgReadIOSizeInBytes","\\LocalHost\AzureVMBlob(Blob:_masgstrps1sapdb1_vhds_MASG-1SAPBWD1OSDisk.vhd)\ReadIOPS","\\LocalHost\AzureVMBlob(Blob:LocalTempDisk)\ReadIOPS","\\LocalHost\AzureVMBlob(Blob:SumOfAllBlob)\ReadIOPS","\\LocalHost\AzureVMBlob(Blob:_masgstrps1sapdb1_vhds_MASG-1SAPBWD1OSDisk.vhd)\DeltaWritesThrottled","\\LocalHost\AzureVMBlob(Blob:LocalTempDisk)\DeltaWritesThrottled","\\LocalHost\AzureVMBlob(Blob:SumOfAllBlob)\DeltaWritesThrottled"
"12/15/2017 11:00:04.000","22392","0","22392","19.600000000000001","0","19.600000000000001","0","0","0","0.438886","0","0.438886","18.399999999999999","0","18.399999999999999","22071","0","22071","0","0","0","0.044103200000000002","0","0.044103200000000002","0","0","0","0.40611799999999998","0","0.40611799999999998","0","0","0","0","0","0","0.032767999999999999","0","0.032767999999999999","27306","0","27306","1.2","0","1.2","0","0","0"
"12/15/2017 11:00:09.000","23381","0","23381","6.5999999999999996","0","6.5999999999999996","0","0","0","0.15431700000000001","0","0.15431700000000001","6.2000000000000002","0","6.2000000000000002","24361","0","24361","0","0","0","0.0095412399999999994","0","0.0095412399999999994","0","0","0","0.15104000000000001","0","0.15104000000000001","0","0","0","0","0","0","0.0032767999999999999","0","0.0032767999999999999","8192","0","8192","0.40000000000000002","0","0.40000000000000002","0","0","0"
"12/15/2017 11:00:14.000","11418","0","11418","22.600000000000001","0","22.600000000000001","0","0","0","0.258048","0","0.258048","22","0","22","11506","0","11506","0","0","0","0.032035300000000003","0","0.032035300000000003","0","0","0","0.253133","0","0.253133","0","0","0","0","0","0","0.0049151999999999998","0","0.0049151999999999998","8192","0","8192","0.59999999999999998","0","0.59999999999999998","0","0","0"
"12/15/2017 11:00:19.000","11403","0","11403","20.600000000000001","0","20.600000000000001","0","0","0","0.234906","0","0.234906","18.600000000000001","0","18.600000000000001","11748","0","11748","0","0","0","0.0140094","0","0.0140094","0","0","0","0.21852199999999999","0","0.21852199999999999","0","0","0","0","0","0","0.016383999999999999","0","0.016383999999999999","8192","0","8192","2","0","2","0","0","0"
"12/15/2017 11:00:24.000","19200","0","19200","3.2000000000000002","0","3.2000000000000002","0","0","0","0.061440000000000002","0","0.061440000000000002","2.3999999999999999","0","2.3999999999999999","22869","0","22869","0","0","0","0.0042365800000000002","0","0.0042365800000000002","0","0","0","0.054886400000000002","0","0.054886400000000002","0","0","0","0","0","0","0.0065535999999999997","0","0.0065535999999999997","8192","0","8192","0.80000000000000004","0","0.80000000000000004","0","0","0"
"12/15/2017 11:00:29.000","29422","0","29422","3","0","3","0","0","0","0.088268799999999994","0","0.088268799999999994","2.3999999999999999","0","2.3999999999999999","34730","0","34730","0","0","0","0.0042764400000000003","0","0.0042764400000000003","0","0","0","0.0833536","0","0.0833536","0","0","0","0","0","0","0.0049151999999999998","0","0.0049151999999999998","8192","0","8192","0.59999999999999998","0","0.59999999999999998","0","0","0"
"12/15/2017 11:00:34.000","14745","0","14745","2","0","2","0","0","0","0.029491199999999999","0","0.029491199999999999","2","0","2","14745","0","14745","0","0","0","0.00053249999999999999","0","0.00053249999999999999","0","0","0","0.029491199999999999","0","0.029491199999999999","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"12/15/2017 11:00:39.000","9701","0","9701","19.399999999999999","0","19.399999999999999","0","0","0","0.18821099999999999","0","0.18821099999999999","18","0","18","9819","0","9819","0","0","0","0.0145787","0","0.0145787","0","0","0","0.17674200000000001","0","0.17674200000000001","0","0","0","0","0","0","0.011468799999999999","0","0.011468799999999999","8192","0","8192","1.3999999999999999","0","1.3999999999999999","0","0","0"
"12/15/2017 11:00:44.000","36491","0","36491","4.4000000000000004","0","4.4000000000000004","0","0","0","0.16056300000000001","0","0.16056300000000001","4.4000000000000004","0","4.4000000000000004","36491","0","36491","0","0","0","0.0056457","0","0.0056457","0","0","0","0.16056300000000001","0","0.16056300000000001","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"12/15/2017 11:00:49.000","30061","0","30061","2.7999999999999998","0","2.7999999999999998","0","0","0","0.084172800000000006","0","0.084172800000000006","2.7999999999999998","0","2.7999999999999998","30061","0","30061","0","0","0","0.0031113199999999999","0","0.0031113199999999999","0","0","0","0.084172800000000006","0","0.084172800000000006","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"12/15/2017 11:00:54.000","9479","0","9479","7","0","7","0","0","0","0.066355200000000003","0","0.066355200000000003","6.7999999999999998","0","6.7999999999999998","9517","0","9517","0","0","0","0.0046637600000000003","0","0.0046637600000000003","0","0","0","0.064716800000000005","0","0.064716800000000005","0","0","0","0","0","0","0.0016383999999999999","0","0.0016383999999999999","8192","0","8192","0.20000000000000001","0","0.20000000000000001","0","0","0"
"12/15/2017 11:00:59.000","54857","0","54857","1.3999999999999999","0","1.3999999999999999","0","0","0","0.076799999999999993","0","0.076799999999999993","1.3999999999999999","0","1.3999999999999999","54857","0","54857","0","0","0","0.0015505","0","0.0015505","0","0","0","0.076799999999999993","0","0.076799999999999993","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
